symbol,name,exchange,assetType,ipoDate,delistingDate,status
AKAM,Akamai Technologies Inc,NASDAQ,Stock,10/29/1999,null,Active
AKBA,Akebia Therapeutics Inc,NASDAQ,Stock,3/20/2014,null,Active
AKCA,Akcea Therapeutics Inc,NASDAQ,Stock,7/14/2017,null,Active
AKER,Akers Biosciences Inc,NASDAQ,Stock,1/23/2014,null,Active
AKO-A,Embotelladora Andina SA ADR AKOA,NYSE,Stock,7/7/1994,null,Active
AKO-B,Embotelladora Andina SA ADR AKOB,NYSE,Stock,4/7/1997,null,Active
AKR,Acadia Realty Trust,NYSE,Stock,5/27/1993,null,Active
AKRO,Akero Therapeutics Inc,NASDAQ,Stock,6/20/2019,null,Active
AKTS,Akoustis Technologies Inc,NASDAQ,Stock,11/20/2015,null,Active
AKTX,nan,NASDAQ,Stock,9/21/2015,null,Active
AKU,Akumin Inc,NASDAQ,Stock,3/8/2018,null,Active
AKUS,Akouos Inc,NASDAQ,Stock,6/26/2020,null,Active
AL,Air Lease Corp,NYSE,Stock,4/19/2011,null,Active
AL-P-A,Air Lease Corporation 6150 FixedtoFloating Rate NonCumulative Perpetual Preferred Stock Series A,NYSE,Stock,2/27/2019,null,Active
ALAC,Alberton Acquisition Corp,NASDAQ,Stock,11/21/2018,null,Active
ALACR,Alberton Acquisition Corp Tradeable Rights Nov 2018,NASDAQ,Stock,11/21/2018,null,Active
ALACU,Alberton Acquisition Corp Unit 1 Ord USD 1 Rt,NASDAQ,Stock,10/24/2018,null,Active
ALACW,Alberton Acquisition Corp Warrants 22042020,NASDAQ,Stock,11/21/2018,null,Active
ALB,Albemarle Corp,NYSE,Stock,2/22/1994,null,Active
ALBO,Albireo Pharma Inc,NASDAQ,Stock,5/11/2007,null,Active
ALC,Alcon Inc,NYSE,Stock,4/9/2019,null,Active
ALCO,Alico Inc,NASDAQ,Stock,5/3/1973,null,Active
ALDA,ALDILA INC,NASDAQ,Stock,2/8/2010,null,Active
ALDX,Aldeyra Therapeutics Inc,NASDAQ,Stock,5/2/2014,null,Active
ALE,ALLETE Inc,NYSE,Stock,5/3/1973,null,Active
ALEC,Alector Inc,NASDAQ,Stock,2/7/2019,null,Active
ALEX,Alexander Baldwin Inc,NYSE,Stock,6/14/2012,null,Active
ALG,Alamo Group Inc,NYSE,Stock,3/19/1993,null,Active
ALGN,Align Technology Inc,NASDAQ,Stock,1/30/2001,null,Active
ALGT,Allegiant Travel Company,NASDAQ,Stock,12/8/2006,null,Active
ALIM,Alimera Sciences Inc,NASDAQ,Stock,4/22/2010,null,Active
ALIN-P-A,Altera Infrastructure LP 725 Series A,NYSE,Stock,9/22/2014,null,Active
